"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "JavaScript JSX", "CSS", "XML", "Django HTML", "Properties", "TypeScript JSX", "comment", "blank", "total"
"d:\Websites\Prescripto\Cloud Storage\.eslintrc.json", "JSON with Comments", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\Cloud Storage\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Websites\Prescripto\Cloud Storage\.idea\jsLinters\eslint.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Websites\Prescripto\Cloud Storage\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\Websites\Prescripto\Cloud Storage\.idea\prettier.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\Websites\Prescripto\Cloud Storage\.idea\store_it.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\Websites\Prescripto\Cloud Storage\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Websites\Prescripto\Cloud Storage\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 6, 51
"d:\Websites\Prescripto\Cloud Storage\app\(auth)\sign-in\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"d:\Websites\Prescripto\Cloud Storage\app\(auth)\sign-up\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"d:\Websites\Prescripto\Cloud Storage\app\(root)\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 1, 10, 50
"d:\Websites\Prescripto\Cloud Storage\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 7, 31
"d:\Websites\Prescripto\Cloud Storage\app\(root)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 4, 10, 102
