"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "Docker", "XML", "JavaScript JSX", "YAML", "JSON with Comments", "Properties", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\Websites\Prescripto\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 4, 26
"d:\Websites\Prescripto\.github\workflows\Prescripto - CI\Prescripto.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 20, 76
"d:\Websites\Prescripto\README.md", "Markdown", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 254
"d:\Websites\Prescripto\SECURITY.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"d:\Websites\Prescripto\application\prescripto\README.md", "Markdown", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 51
"d:\Websites\Prescripto\application\prescripto\app.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"d:\Websites\Prescripto\application\prescripto\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 1, 3, 84
"d:\Websites\Prescripto\application\prescripto\app\(tabs)\booking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 5, 16, 304
"d:\Websites\Prescripto\application\prescripto\app\(tabs)\explore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 4, 113
"d:\Websites\Prescripto\application\prescripto\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 655, 0, 0, 8, 29, 692
"d:\Websites\Prescripto\application\prescripto\app\(tabs)\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 313, 0, 0, 5, 20, 338
"d:\Websites\Prescripto\application\prescripto\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 9, 60
"d:\Websites\Prescripto\application\prescripto\app\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 12, 26, 293
"d:\Websites\Prescripto\application\prescripto\app\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 367, 0, 0, 4, 24, 395
"d:\Websites\Prescripto\application\prescripto\app\modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\Websites\Prescripto\application\prescripto\app\signup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 22, 336
"d:\Websites\Prescripto\application\prescripto\assets\images\favicon.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\application\prescripto\babel.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Websites\Prescripto\application\prescripto\build_url.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\Websites\Prescripto\application\prescripto\components\LogoSVG.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"d:\Websites\Prescripto\application\prescripto\components\external-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 3, 26
"d:\Websites\Prescripto\application\prescripto\components\haptic-tab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 2, 19
"d:\Websites\Prescripto\application\prescripto\components\hello-wave.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"d:\Websites\Prescripto\application\prescripto\components\parallax-scroll-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 7, 80
